"","Province_State.x","date","total_population","total_deaths","stateAbbrev","pop_not_home","pop_at_home","Province_State.y","total_cases","vaccinations","vaccine_rate","home_rate","not_home_rate","pct_change_cases","pct_change_death","number_change_death","number_change_cases"
"1","Alabama",2021-01-02,4903185,4872,"AL",3785102,1102769,"Alabama",369458,39446,0.00804497484798146,0.224908707299439,0.771968016707507,3.54184182500981,2.05278592375366,98,12638
"2","Alabama",2021-01-04,4903185,4878,"AL",3924975,962896,"Alabama",374095,39564,0.00806904083774118,0.196381739624346,0.8004949843826,1.25508176842835,0.123152709359609,6,4637
"3","Alabama",2021-01-05,4903185,4886,"AL",3940942,946929,"Alabama",379593,42810,0.00873105950519917,0.193125284891351,0.803751439115595,1.46968016145632,0.164001640016398,8,5498
"4","Alabama",2021-01-06,4903185,4994,"AL",3981754,906117,"Alabama",384184,43280,0.00882691556610652,0.184801715619541,0.812075008387405,1.20945328285822,2.21039705280393,108,4591
"5","Alabama",2021-01-07,4903185,5080,"AL",3965295,922576,"Alabama",389230,48888,0.00997066192689038,0.18815851329289,0.808718210714056,1.31343314661725,1.72206647977573,86,5046
"6","Alabama",2021-01-08,4903185,5191,"AL",3987987,899884,"Alabama",394287,57105,0.0116465114002429,0.183530501092657,0.813346222914289,1.29923181666367,2.18503937007875,111,5057
"7","Alabama",2021-01-11,4903185,5347,"AL",3889410,998461,"Alabama",404000,76528,0.0156078141045055,0.203635188148112,0.793241535858835,2.46343399604856,3.00520130995954,156,9713
"8","Alabama",2021-01-12,4903185,5573,"AL",3934532,953339,"Alabama",407848,87138,0.0177717136922225,0.194432598402875,0.802444125604072,0.952475247524753,4.22666916027679,226,3848
"9","Alabama",2021-01-14,4903185,5945,"AL",4005769,882102,"Alabama",414583,92300,0.0188244987696773,0.179903878805307,0.816972845201639,1.65135050312861,6.67504037322806,372,6735
"10","Alabama",2021-01-15,4903185,6030,"AL",4047176,840695,"Alabama",417528,130394,0.0265937344807508,0.17145895983937,0.825417764167577,0.71035232993153,1.42977291841884,85,2945
"11","Alabama",2021-01-18,4903185,6121,"AL",4072317,815554,"Alabama",424028,148685,0.0303241668425727,0.16633147637709,0.830545247629857,1.55678182062042,1.50912106135987,91,6500
"12","Alabama",2021-01-19,4903185,6126,"AL",4020250,867621,"Alabama",426543,158116,0.0322476104817583,0.176950492384032,0.819926231622914,0.593121208976766,0.0816859990197649,5,2515
"13","Alabama",2021-01-20,4903185,6283,"AL",4048076,839795,"Alabama",429655,184618,0.0376526686225382,0.171275405680185,0.825601318326761,0.729586466077281,2.5628468821417,157,3112
"14","Alabama",2021-01-21,4903185,6379,"AL",4086900,800971,"Alabama",432536,202643,0.0413288505328679,0.163357287151107,0.83351943685584,0.670537989782494,1.52793251631387,96,2881
"15","Alabama",2021-01-22,4903185,6486,"AL",4130109,757762,"Alabama",436087,223887,0.0456615444858801,0.154544851968669,0.842331872038277,0.820972127175534,1.67737889951403,107,3551
"16","Alabama",2021-01-24,4903185,6660,"AL",3905738,982133,"Alabama",441170,243737,0.0497099334412224,0.200305107802377,0.796571616204569,1.16559310412832,2.6827012025902,174,5083
"17","Alabama",2021-01-25,4903185,6662,"AL",4058797,829074,"Alabama",443009,255291,0.0520663609470171,0.169088867746169,0.827787856260777,0.416846113742997,0.0300300300300371,2,1839
"18","Alabama",2021-01-26,4903185,6896,"AL",4086065,801806,"Alabama",445909,266306,0.054312859906367,0.163527584621017,0.83334913938593,0.654614240342744,3.51245872110477,234,2900
"19","Alabama",2021-01-27,4903185,7172,"AL",4074002,813869,"Alabama",449086,280608,0.057229739444871,0.165987822201283,0.830888901805663,0.712477209475471,4.00232018561484,276,3177
"20","Alabama",2021-01-28,4903185,7340,"AL",4089298,798573,"Alabama",452734,302269,0.0616474801583053,0.162868217291414,0.834008506715533,0.812316571881544,2.34244283324039,168,3648
"21","Alabama",2021-01-29,4903185,7566,"AL",4118361,769510,"Alabama",455582,323875,0.0660540036731227,0.156940845593222,0.839935878413725,0.629066957639579,3.07901907356949,226,2848
"22","Alabama",2021-01-30,4903185,7566,"AL",4028773,859098,"Alabama",455582,342436,0.0698395022826999,0.175212234496557,0.82166448951039,0,0,0,0
"23","Alabama",2021-01-31,4903185,7688,"AL",3927738,960133,"Alabama",459639,353974,0.0721926666034425,0.19581822835565,0.801058495651296,0.890509282631879,1.61247687020882,122,4057
"24","Alabama",2021-02-01,4903185,7688,"AL",4044961,842910,"Alabama",460860,359589,0.0733378406076866,0.171910707020029,0.824966016986918,0.265643254815195,0,0,1221
"25","Alabama",2021-02-02,4903185,7894,"AL",4069442,818429,"Alabama",462938,373907,0.0762579833312429,0.166917829941151,0.829958894065796,0.450896150674818,2.67950052029136,206,2078
"26","Alabama",2021-02-03,4903185,8203,"AL",4094476,793395,"Alabama",465056,392624,0.0800752979950787,0.161812169028907,0.83506455497804,0.457512669083115,3.91436534076515,309,2118
"27","Alabama",2021-02-04,4903185,8365,"AL",4115185,772686,"Alabama",467823,413346,0.084301530535764,0.157588587826076,0.83928813618087,0.594982109681408,1.97488723637693,162,2767
"28","Alabama",2021-02-05,4903185,8449,"AL",4150662,737209,"Alabama",469319,436962,0.0891179916727596,0.150353086820098,0.846523637186849,0.319779061739167,1.0041841004184,84,1496
"29","Alabama",2021-02-06,4903185,8513,"AL",4016504,871367,"Alabama",471311,455173,0.0928321081093208,0.17771448558437,0.819162238422576,0.424444780628952,0.75748609302877,64,1992
"30","Alabama",2021-02-07,4903185,8515,"AL",3947470,940401,"Alabama",472423,462332,0.0942921794710989,0.191793905390068,0.805082818616879,0.235937629293614,0.0234934805591447,2,1112
"31","Alabama",2021-02-08,4903185,8523,"AL",4044116,843755,"Alabama",473348,473199,0.0965084939687162,0.172083043980596,0.82479368002635,0.195799103769301,0.0939518496770431,8,925
"32","Alabama",2021-02-09,4903185,8579,"AL",4067259,820612,"Alabama",474666,497705,0.101506469774239,0.167363050751705,0.829513673255241,0.278442076442698,0.657045641206144,56,1318
"33","Alabama",2021-02-10,4903185,8888,"AL",4079214,808657,"Alabama",476067,523241,0.106714513117494,0.164924839670541,0.831951884336406,0.295154908925443,3.60181839375218,309,1401
"34","Alabama",2021-02-11,4903185,9021,"AL",4085728,802143,"Alabama",477570,553003,0.112784445212653,0.163596315456178,0.833280408550769,0.315711864086365,1.496399639964,133,1503
"35","Alabama",2021-02-12,4903185,9180,"AL",4149146,738725,"Alabama",478667,581317,0.11855905906059,0.15066227360379,0.846214450403156,0.229704545930431,1.762554040572,159,1097
"36","Alabama",2021-02-13,4903185,9242,"AL",3975899,911972,"Alabama",479856,601159,0.122605816423406,0.185995837399568,0.810880886607379,0.248398155711582,0.675381263616548,62,1189
"37","Alabama",2021-02-14,4903185,9242,"AL",3942088,945783,"Alabama",480931,612254,0.124868631308017,0.19289155926199,0.803985164744957,0.224025540995632,0,0,1075
"38","Alabama",2021-02-16,4903185,9257,"AL",3676352,1211519,"Alabama",482488,648987,0.132360292340591,0.247088168200874,0.749788555806073,0.323747065587376,0.162302531919489,15,1557
"39","Alabama",2021-02-17,4903185,9346,"AL",4057846,830025,"Alabama",483167,663056,0.135229651746773,0.169282823307707,0.827593900699239,0.14072888859411,0.961434590039967,89,679
"40","Alabama",2021-02-18,4903185,9424,"AL",4076571,811300,"Alabama",484365,685870,0.139882545733029,0.165463877051345,0.831412846955601,0.247947397069748,0.834581639203935,78,1198
"41","Alabama",2021-02-19,4903185,9573,"AL",4141963,745908,"Alabama",485212,717477,0.146328763854515,0.152127239743147,0.8447494842638,0.174868126309713,1.58106960950763,149,847
"42","Alabama",2021-02-20,4903185,9590,"AL",4040353,847518,"Alabama",485986,776936,0.158455371355558,0.172850504315052,0.824026219691894,0.159517901453388,0.177582784915908,17,774
"43","Alabama",2021-02-21,4903185,9592,"AL",4015479,872392,"Alabama",486843,788613,0.160836884596441,0.177923533376774,0.818953190630172,0.176342528385587,0.0208550573514099,2,857
"44","Alabama",2021-02-22,4903185,9592,"AL",4137031,750840,"Alabama",487520,793614,0.161856833874308,0.153133116535476,0.84374360747147,0.13905920389119,0,0,677
"45","Alabama",2021-02-23,4903185,9660,"AL",4162220,725651,"Alabama",488973,815108,0.16624051509376,0.14799584351804,0.848880880488907,0.298039054808008,0.708924103419517,68,1453
"46","Alabama",2021-02-24,4903185,9744,"AL",4167188,720683,"Alabama",490220,839703,0.171256642366135,0.146982624559343,0.849894099447604,0.255024306045537,0.869565217391299,84,1247
"47","Alabama",2021-02-25,4903185,9831,"AL",4170661,717210,"Alabama",491110,864757,0.176366382259694,0.146274309453957,0.85060241455299,0.181551140304359,0.89285714285714,87,890
"48","Alabama",2021-02-26,4903185,9869,"AL",4193802,694069,"Alabama",491849,893859,0.182301707971451,0.141554724123197,0.855321999883749,0.150475453564369,0.386532397518047,38,739
"49","Alabama",2021-02-27,4903185,9930,"AL",4099297,788574,"Alabama",492683,931090,0.189894935638774,0.160828930582876,0.83604779342407,0.169564236178177,0.618097071638468,61,834
"50","Alabama",2021-02-28,4903185,9929,"AL",4014386,873485,"Alabama",493252,942502,0.19222240237723,0.178146449705651,0.818730274301296,0.115490081857916,-0.010070493454184,-1,569
"51","Alabama",2021-03-01,4903185,9931,"AL",4129597,758274,"Alabama",493769,948393,0.193423866323624,0.154649273890339,0.842227450116608,0.104814577538459,0.0201430154094018,2,517
"52","Alabama",2021-03-02,4903185,9991,"AL",4127388,760483,"Alabama",494421,972161,0.198271327718616,0.155099797376603,0.841776926630343,0.132045551664839,0.604168764474866,60,652
"53","Alabama",2021-03-03,4903185,10029,"AL",4148234,739637,"Alabama",497154,1000031,0.203955388181356,0.150848275151764,0.846028448855183,0.552767782921837,0.380342308077264,38,2733
"54","Alabama",2021-03-04,4903185,10094,"AL",4192513,695358,"Alabama",498076,1032171,0.210510311154892,0.141817614468963,0.855059109537984,0.185455613351193,0.648120450692979,65,922
"55","Alabama",2021-03-05,4903185,10122,"AL",4215136,672735,"Alabama",498887,1064578,0.217119688528987,0.137203674754267,0.85967304925268,0.162826556589768,0.277392510402219,28,811
"56","Alabama",2021-03-06,4903185,10149,"AL",4118538,769333,"Alabama",499411,1099697,0.224282175769423,0.156904746608582,0.839971977398364,0.105033805250487,0.266745702430349,27,524
"57","Alabama",2021-03-07,4903185,10148,"AL",4059098,844087,"Alabama",499819,1110132,0.226410384270632,0.172150755070429,0.827849244929571,0.0816962381685604,-0.00985318750615916,-1,408
"58","Alabama",2021-03-08,4903185,10148,"AL",4195976,707209,"Alabama",500092,1116676,0.227745026956968,0.144234614847288,0.855765385152712,0.0546197723575892,0,0,273
"59","Alabama",2021-03-09,4903185,10186,"AL",4189213,713972,"Alabama",500616,1140984,0.23270262084747,0.145613922379025,0.854386077620975,0.104780720347453,0.374458021284974,38,524
"60","Alabama",2021-03-10,4903185,10222,"AL",4225216,677969,"Alabama",501398,1173820,0.239399492370775,0.138271144164456,0.861728855835544,0.156207552295573,0.353426271352841,36,782
"61","Alabama",2021-03-11,4903185,10274,"AL",4222894,680291,"Alabama",502263,1209802,0.246737987654963,0.138744713895152,0.861255286104848,0.172517640676673,0.508706711015461,52,865
"62","Alabama",2021-03-12,4903185,10299,"AL",4269295,633890,"Alabama",502711,1249205,0.254774192693117,0.129281273294807,0.870718726705193,0.0891962975572591,0.243332684446185,25,448
"63","Alabama",2021-03-13,4903185,10327,"AL",4186388,716797,"Alabama",503305,1288242,0.262735752373202,0.146190078489798,0.853809921510202,0.11815934005821,0.271871055442285,28,594
"64","Alabama",2021-03-14,4903185,10327,"AL",4140892,762293,"Alabama",503673,1298612,0.264850704185137,0.155468945185629,0.844531054814371,0.073116698622111,0,0,368
"65","Alabama",2021-03-15,4903185,10329,"AL",4187003,716182,"Alabama",508229,1306419,0.266442934541528,0.146064649814355,0.853935350185645,0.904555137956575,0.019366708627877,2,4556
"66","Alabama",2021-03-16,4903185,10337,"AL",4227991,675194,"Alabama",508717,1332298,0.271720932414339,0.137705185506972,0.862294814493028,0.0960197076514735,0.0774518346403408,8,488
"67","Alabama",2021-03-17,4903185,10363,"AL",4061445,841740,"Alabama",509476,1363987,0.278183874359218,0.171672086613089,0.828327913386911,0.149198866953526,0.251523652897356,26,759
"68","Alabama",2021-03-18,4903185,10391,"AL",4258673,644512,"Alabama",510048,1390066,0.283502662045181,0.131447620271313,0.868552379728687,0.112272216944476,0.270192029335137,28,572
"69","Alabama",2021-03-19,4903185,10425,"AL",4292780,610405,"Alabama",510579,1426696,0.290973316323981,0.124491529485426,0.875508470514574,0.104107848673074,0.327206236165911,34,531
"70","Alabama",2021-03-20,4903185,10436,"AL",4208954,694231,"Alabama",511087,1460782,0.297925124179487,0.141587763871851,0.858412236128149,0.0994948871771095,0.105515587529981,11,508
"71","Alabama",2021-03-21,4903185,10436,"AL",4131212,771973,"Alabama",511460,1472666,0.300348854876983,0.157443172142189,0.842556827857811,0.072981703702113,0,0,373
"72","Alabama",2021-03-22,4903185,10436,"AL",4215194,687991,"Alabama",511779,1479271,0.30169593845633,0.140315121701506,0.859684878298494,0.0623704688538673,0,0,319
"73","Alabama",2021-03-23,4903185,10450,"AL",4218997,684188,"Alabama",511789,1509445,0.307849897566582,0.13953950340442,0.86046049659558,0.00195396841213835,0.134151015714834,14,10
"74","Alabama",2021-03-24,4903185,10487,"AL",4237573,665612,"Alabama",512711,1542416,0.314574302213765,0.135750945558856,0.864249054441144,0.180152367479569,0.354066985645929,37,922
"75","Alabama",2021-03-25,4903185,10504,"AL",4096020,807165,"Alabama",513138,1579091,0.322054134200525,0.164620547664426,0.835379452335574,0.0832827850387519,0.162105463907691,17,427
"76","Alabama",2021-03-26,4903185,10523,"AL",4288343,614842,"Alabama",513580,1611404,0.328644340362438,0.125396451490205,0.874603548509795,0.0861366727858748,0.180883472962678,19,442
"77","Alabama",2021-03-27,4903185,10526,"AL",4197500,705685,"Alabama",514072,1645858,0.335671201474144,0.143923796471069,0.856076203528931,0.0957981229798621,0.0285089803288008,3,492
"78","Alabama",2021-03-28,4903185,10526,"AL",4097072,806113,"Alabama",514391,1659102,0.338372302901074,0.164405993247246,0.835594006752754,0.0620535644812348,0,0,319
"79","Alabama",2021-03-29,4903185,10526,"AL",4195992,707193,"Alabama",514619,1666585,0.339898453760158,0.144231351662236,0.855768648337764,0.0443242591724902,0,0,228
"80","Alabama",2021-03-30,4903185,10527,"AL",4228752,674433,"Alabama",514980,1697641,0.34623229594641,0.137549980267928,0.862450019732072,0.0701489840056357,0.00950028500854572,1,361
"81","Alabama",2021-03-31,4903185,10554,"AL",4188166,715019,"Alabama",515388,1728736,0.352574092146227,0.145827457050876,0.854172542949124,0.0792263777233959,0.256483328583634,27,408
"82","Alabama",2021-04-01,4903185,10553,"AL",4218222,684963,"Alabama",515866,1771979,0.361393461596901,0.139697563930384,0.860302436069616,0.0927456595807508,-0.00947508053817936,-1,478
"83","Alabama",2021-04-02,4903185,10607,"AL",4259488,643697,"Alabama",516266,1813462,0.369853880691836,0.131281401782719,0.868718598217281,0.0775395160758752,0.51170283331754,54,400
"84","Alabama",2021-04-03,4903185,10637,"AL",4213448,689737,"Alabama",516615,1847243,0.376743484082285,0.140671216770324,0.859328783229676,0.0676008104349313,0.282832092014718,30,349
"85","Alabama",2021-04-04,4903185,10637,"AL",4134455,768730,"Alabama",516809,1858833,0.379107253754447,0.156781765321929,0.843218234678071,0.0375521423110037,0,0,194
"86","Alabama",2021-04-05,4903185,10638,"AL",4236085,667100,"Alabama",516918,1864857,0.380335842926588,0.136054421768707,0.863945578231292,0.0210909639731582,0.00940114693992466,1,109
"87","Alabama",2021-04-06,4903185,10652,"AL",4259469,643716,"Alabama",517114,1896920,0.386875061822061,0.131285276814968,0.868714723185032,0.0379170390661487,0.13160368490317,14,196
"88","Alabama",2021-04-07,4903185,10652,"AL",4199339,703846,"Alabama",517452,1935221,0.394686514989746,0.143548734139136,0.856451265860864,0.0653627633365073,0,0,338
"89","Alabama",2021-04-08,4903185,10675,"AL",4265341,637844,"Alabama",517916,1976344,0.403073512421008,0.130087687900824,0.869912312099176,0.0896701529803812,0.215921892602333,23,464
"90","Alabama",2021-04-09,4903185,10686,"AL",4283611,619574,"Alabama",518234,2021334,0.412249180889565,0.126361538469383,0.873638461530617,0.0613999181334535,0.103044496487126,11,318
"91","Alabama",2021-04-10,4903185,10712,"AL",4167281,735904,"Alabama",518588,2065327,0.421221512139558,0.15008693328928,0.84991306671072,0.0683089106465529,0.243309002433101,26,354
"92","Alabama",2021-04-11,4903185,10712,"AL",4142878,760307,"Alabama",518899,2082605,0.424745344097765,0.155063902341029,0.844936097658971,0.0599705353768298,0,0,311
"93","Alabama",2021-04-12,4903185,10712,"AL",4231702,671483,"Alabama",519071,2092489,0.42676117666374,0.136948330523935,0.863051669476065,0.0331471056987942,0,0,172
"94","Alabama",2021-04-13,4903185,10722,"AL",4245872,657313,"Alabama",520503,2127317,0.43386431472604,0.134058372262111,0.865941627737889,0.275877481115305,0.0933532486930622,10,1432
"95","Alabama",2021-04-14,4903185,10728,"AL",4203128,700057,"Alabama",520780,2168891,0.44234329318596,0.14277597112897,0.85722402887103,0.0532177528275612,0.0559597090095121,6,277
"96","Alabama",2021-04-15,4903185,10736,"AL",4252421,650764,"Alabama",521201,2207392,0.450195536166798,0.132722709830447,0.867277290169553,0.0808402780444695,0.0745712155108214,8,421
"97","Alabama",2021-04-16,4903185,10739,"AL",4289832,613353,"Alabama",521623,2245574,0.457982719395658,0.125092771331288,0.874907228668712,0.080966843885566,0.0279433681072971,3,422
"98","Alabama",2021-04-17,4903185,10790,"AL",4196336,706849,"Alabama",522131,2280686,0.465143778992634,0.144161193183614,0.855838806816386,0.0973883436888423,0.474904553496591,51,508
"99","Alabama",2021-04-18,4903185,10790,"AL",4133996,769189,"Alabama",522401,2292276,0.467507548664796,0.156875377943112,0.843124622056888,0.0517111606091136,0,0,270
"100","Alabama",2021-04-19,4903185,10790,"AL",4241271,661914,"Alabama",522512,2297563,0.468585827375471,0.134996741913674,0.865003258086325,0.0212480450841435,0,0,111
"101","Alabama",2021-04-20,4903185,10798,"AL",4273310,629875,"Alabama",523955,2327764,0.474745293110499,0.12846241779578,0.87153758220422,0.276165906237558,0.0741427247451298,8,1443
"102","Alabama",2021-04-21,4903185,10807,"AL",4124886,778299,"Alabama",524367,2360527,0.481427276352004,0.158733353932189,0.841266646067811,0.0786327070072756,0.0833487682904144,9,412
"103","Alabama",2021-04-22,4903185,10824,"AL",3879305,1023880,"Alabama",525049,2394304,0.48831606394619,0.208819369450673,0.791180630549327,0.130061579008589,0.157305450171186,17,682
"104","Alabama",2021-04-23,4903185,10840,"AL",3930873,972312,"Alabama",525477,2429629,0.495520564694173,0.198302124027545,0.801697875972455,0.0815162013450221,0.147819660014781,16,428
"105","Alabama",2021-04-24,4903185,10851,"AL",3879080,1024105,"Alabama",525898,2461510,0.502022664859678,0.208865257990469,0.79113474200953,0.0801176835522721,0.101476014760138,11,421
"106","Alabama",2021-04-25,4903185,10851,"AL",3819310,1083875,"Alabama",526131,2471409,0.504041556661639,0.221055293650964,0.778944706349036,0.0443051694435148,0,0,233
"107","Alabama",2021-04-26,4903185,10852,"AL",3894867,1008318,"Alabama",526348,2478227,0.505432081391993,0.205645514089311,0.794354485910689,0.0412444809372525,0.00921574048475815,1,217
"108","Alabama",2021-04-27,4903185,10854,"AL",3889598,1013587,"Alabama",526707,2499694,0.50981025598667,0.206720121716802,0.793279878283198,0.068205825803469,0.0184297825285729,2,359
"109","Alabama",2021-04-28,4903185,10879,"AL",3888984,1014201,"Alabama",527083,2527815,0.515545507664916,0.206845346443179,0.793154653556821,0.0713869380889243,0.230329832319875,25,376
"110","Alabama",2021-04-29,4903185,10887,"AL",3914712,988473,"Alabama",527513,2559938,0.522096963504334,0.201598144879298,0.798401855120702,0.0815810792607508,0.073536170603905,8,430
"111","Alabama",2021-04-30,4903185,10896,"AL",3929211,973974,"Alabama",527922,2591163,0.5284652730827,0.198641087374839,0.801358912625161,0.0775336342421884,0.0826674014880124,9,409
"112","Alabama",2021-05-01,4903185,10913,"AL",3877458,1025727,"Alabama",528309,2617405,0.533817304466383,0.209196063375133,0.790803936624867,0.0733062838828458,0.156020558002945,17,387
"113","Alabama",2021-05-02,4903185,10913,"AL",3819256,1083929,"Alabama",528597,2622717,0.534900681903701,0.221066306900515,0.778933693099485,0.0545135517282525,0,0,288
"114","Alabama",2021-05-03,4903185,10913,"AL",3911096,992089,"Alabama",528784,2627322,0.535839867351528,0.202335624701087,0.797664375298913,0.035376666912601,0,0,187
"115","Alabama",2021-05-04,4903185,10913,"AL",3897580,1005605,"Alabama",528784,2644674,0.539378791540601,0.205092200273904,0.794907799726096,0,0,0,0
"116","Alabama",2021-05-05,4903185,10930,"AL",3893072,1010113,"Alabama",529446,2670926,0.54473286241494,0.206011602662351,0.793988397337649,0.125192895397741,0.15577751305782,17,662
"117","Alabama",2021-05-06,4903185,10946,"AL",3909214,993971,"Alabama",530011,2673181,0.54519276755823,0.202719456842848,0.797280543157152,0.106715321298112,0.146386093321138,16,565
"118","Alabama",2021-05-07,4903185,10966,"AL",3928629,974556,"Alabama",530325,2726356,0.556037759130035,0.198759785731111,0.801240214268888,0.0592440534253003,0.182715147085699,20,314
"119","Alabama",2021-05-08,4903185,10978,"AL",3880789,1022396,"Alabama",530744,2758021,0.562495806297335,0.208516709037085,0.791483290962915,0.0790081553764255,0.109429144628859,12,419
"120","Alabama",2021-05-09,4903185,10978,"AL",3851183,1052002,"Alabama",530988,2768204,0.564572619633973,0.214554825077985,0.785445174922015,0.0459731998854407,0,0,244
"121","Alabama",2021-05-10,4903185,10978,"AL",3922054,981131,"Alabama",531094,2773615,0.565676188028802,0.200100750838486,0.799899249161514,0.0199627863529894,0,0,106
"122","Alabama",2021-05-11,4903185,10985,"AL",3944446,958739,"Alabama",531404,2773902,0.565734721410675,0.195533923357981,0.804466076642019,0.0583700813791888,0.0637638914191996,7,310
"123","Alabama",2021-05-12,4903185,10997,"AL",3935536,967649,"Alabama",531751,2791631,0.56935053439754,0.197351109533905,0.802648890466095,0.0652987181127829,0.10923987255349,12,347
"124","Alabama",2021-05-13,4903185,11001,"AL",3924621,978564,"Alabama",532895,2831853,0.577553773720551,0.199577213586679,0.800422786413321,0.215138288409422,0.0363735564244738,4,1144
"125","Alabama",2021-05-14,4903185,11024,"AL",3955391,947794,"Alabama",537813,2859591,0.583210912906611,0.193301700833234,0.806698299166766,0.922883494872351,0.209071902554303,23,4918
"126","Alabama",2021-05-15,4903185,11038,"AL",3890981,1012204,"Alabama",539829,2881314,0.587641298462122,0.206438060158856,0.793561939841144,0.374851481834759,0.126995645863581,14,2016
"127","Alabama",2021-05-16,4903185,11038,"AL",3831164,1072021,"Alabama",540083,2886106,0.588618622385246,0.218637681425441,0.781362318574559,0.0470519368170219,0,0,254
"128","Alabama",2021-05-17,4903185,11038,"AL",3883341,1019844,"Alabama",540267,2886153,0.588628207991336,0.207996231021265,0.792003768978735,0.034068837567558,0,0,184
"129","Alabama",2021-05-18,4903185,11043,"AL",3931051,972134,"Alabama",540603,2905553,0.592584819867086,0.19826582109384,0.80173417890616,0.0621914719943994,0.0452980612429821,5,336
"130","Alabama",2021-05-19,4903185,11045,"AL",3920840,982345,"Alabama",540891,2906102,0.592696787904189,0.200348345004319,0.799651654995681,0.0532738442073022,0.0181110205559998,2,288
"131","Alabama",2021-05-20,4903185,11077,"AL",3930240,972945,"Alabama",541230,2939161,0.599439140069159,0.198431223786172,0.801568776213828,0.0626743650754102,0.289723856948854,32,339
"132","Alabama",2021-05-21,4903185,11080,"AL",3955287,947898,"Alabama",541673,2945488,0.600729525808225,0.193322911536073,0.806677088463927,0.0818505995602514,0.0270831452559461,3,443
"133","Alabama",2021-05-22,4903185,11112,"AL",3896231,1006954,"Alabama",541928,2962661,0.604231943114527,0.205367327563614,0.794632672436386,0.0470763726454937,0.288808664259932,32,255
"134","Alabama",2021-05-23,4903185,11112,"AL",3870354,1032831,"Alabama",542124,2981931,0.608162041611728,0.210644917538294,0.789355082461706,0.0361671661180063,0,0,196
"135","Alabama",2021-05-24,4903185,11112,"AL",3935079,968106,"Alabama",542256,2982081,0.608192633971592,0.197444314256957,0.802555685743042,0.0243486729973208,0,0,132
"136","Alabama",2021-05-25,4903185,11124,"AL",3894439,1008746,"Alabama",542562,2996346,0.611101967394663,0.205732804289457,0.794267195710543,0.0564309108612937,0.107991360691151,12,306
"137","Alabama",2021-05-26,4903185,11138,"AL",3932646,970539,"Alabama",542831,3002607,0.612378892495388,0.197940522333952,0.802059477666048,0.0495795872176741,0.125854009349147,14,269
"138","Alabama",2021-05-27,4903185,11140,"AL",3923581,979604,"Alabama",543177,3007387,0.613353769029722,0.19978932061507,0.80021067938493,0.0637399116852233,0.0179565451607022,2,346
"139","Alabama",2021-05-28,4903185,11146,"AL",3959849,943336,"Alabama",543405,3016803,0.615274153432922,0.192392495898074,0.807607504101926,0.0419752677303986,0.0538599640933501,6,228
"140","Alabama",2021-05-29,4903185,11146,"AL",3902763,1000422,"Alabama",543405,3020540,0.616036311091668,0.204035132266068,0.795964867733932,0,0,0,0
"141","Alabama",2021-05-30,4903185,11146,"AL",3869036,1034149,"Alabama",543405,3021454,0.616222720537773,0.210913722406966,0.789086277593034,0,0,0,0
"142","Alabama",2021-06-01,4903185,11156,"AL",3923614,979571,"Alabama",544045,3022276,0.616390366669828,0.1997825902959,0.8002174097041,0.117775876188109,0.0897182845863931,10,640
